fib_id,symbol,timeframe,scope,review_type,verdict,status,note,source_fib_path,artifact_path,source_hash,reviewed_at,reviewer
fib_BTC-USD_4h_20170702T040000,BTC/USD,4h,2017_h2,tier2_zoom,ok,accepted,"Early Jul 2017 local low, clean structure",data/labels/human_fib/bitfinex/BTC-USD/4h/fib_BTC-USD_4h_20170702T040000.json,experiments/review/fourh_source_fib_zoom/2017_h2/fib_BTC-USD_4h_20170702T040000/,sha256:03b45c451d2e590c,2026-06-15,human
fib_BTC-USD_4h_20171025T120000,BTC/USD,4h,2017_h2,tier2_zoom,ok,accepted,"Oct 2017 correction bottom, clean anchor",data/labels/human_fib/bitfinex/BTC-USD/4h/fib_BTC-USD_4h_20171025T120000.json,experiments/review/fourh_source_fib_zoom/2017_h2/fib_BTC-USD_4h_20171025T120000/,sha256:b7a5ad26c47e76a0,2026-06-15,human
fib_BTC-USD_4h_20171219T160000,BTC/USD,4h,2017_h2,tier2_zoom,ok,accepted,"Post-ATH sub-crash leg, ~$2,200 span, levels visible",data/labels/human_fib/bitfinex/BTC-USD/4h/fib_BTC-USD_4h_20171219T160000.json,experiments/review/fourh_source_fib_zoom/2017_h2/fib_BTC-USD_4h_20171219T160000/,sha256:37371ca6f8a46779,2026-06-15,human
fib_BTC-USD_4h_20171228T200000,BTC/USD,4h,2017_h2,tier2_zoom,ok-with-note,corrected,"corrected 2026-06-15: anchor_a moved 2017-12-28T20:00 @ 13611 -> 2017-12-28T08:00 @ 13145 (candidate_1, preview-approved); anchor_b unchanged; captures full local low->high leg from structural bottom",data/labels/human_fib/bitfinex/BTC-USD/4h/fib_BTC-USD_4h_20171228T200000.json,experiments/review/fourh_source_fib_zoom/2017_h2/fib_BTC-USD_4h_20171228T200000/,sha256:f1bde94b8b4b1327,2026-06-15,human
fib_BTC-USD_4h_20210105T040000,BTC/USD,4h,2021_dec2020_mar2021,tier2_zoom,ok,accepted,"Jan 5 dip -> Jan 8, ~$12,000 span, levels excellent",data/labels/human_fib/bitfinex/BTC-USD/4h/fib_BTC-USD_4h_20210105T040000.json,experiments/review/fourh_source_fib_zoom/2021_dec2020_mar2021/fib_BTC-USD_4h_20210105T040000/,sha256:1998f8192643a421,2026-06-15,human
fib_BTC-USD_4h_20210110T080000,BTC/USD,4h,2021_dec2020_mar2021,tier2_zoom,ok,accepted,"Jan 10 initial breakdown, ~$10,500 span, clear anchor_a",data/labels/human_fib/bitfinex/BTC-USD/4h/fib_BTC-USD_4h_20210110T080000.json,experiments/review/fourh_source_fib_zoom/2021_dec2020_mar2021/fib_BTC-USD_4h_20210110T080000/,sha256:d21ea73ebc1a4a04,2026-06-15,human
fib_BTC-USD_4h_20210110T200000,BTC/USD,4h,2021_dec2020_mar2021,tier2_zoom,ok-with-note,noted,"anchor_b body/close ~$30,500 (not wick ~$28,500); consistency confirmed vs 08:00 fib",data/labels/human_fib/bitfinex/BTC-USD/4h/fib_BTC-USD_4h_20210110T200000.json,experiments/review/fourh_source_fib_zoom/2021_dec2020_mar2021/fib_BTC-USD_4h_20210110T200000/,sha256:d40524b0d32414f1,2026-06-15,human
fib_BTC-USD_4h_20210225T120000,BTC/USD,4h,2021_dec2020_mar2021,tier2_zoom,ok,accepted,"Feb crash sub-leg, ~$8,000 span, levels clear",data/labels/human_fib/bitfinex/BTC-USD/4h/fib_BTC-USD_4h_20210225T120000.json,experiments/review/fourh_source_fib_zoom/2021_dec2020_mar2021/fib_BTC-USD_4h_20210225T120000/,sha256:5b3c65611bb794ff,2026-06-15,human
fib_BTC-USD_4h_20250506T080000,BTC/USD,4h,2025,dedup_triage,suspicious,superseded,duplicate-risk of 12:00 fib (shared anchor_b 97840; anchor_a one bar early off true bottom); removed from active facit 2026-06-15 in favour of fib_BTC-USD_4h_20250506T120000,data/labels/human_fib/bitfinex/BTC-USD/4h/fib_BTC-USD_4h_20250506T080000.json,experiments/review/source_quality_triage/20250506/,sha256:fd6b636a9a18c085,2026-06-15,human
fib_BTC-USD_4h_20250506T120000,BTC/USD,4h,2025,dedup_triage,ok,accepted,correct structural bottom (anchor_a 2025-05-06T12:00 @ 93663); retained after 20250506 dedup triage,data/labels/human_fib/bitfinex/BTC-USD/4h/fib_BTC-USD_4h_20250506T120000.json,experiments/review/source_quality_triage/20250506/,sha256:69b8e537a4f56ef2,2026-06-15,human
